City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,62.65,84,0,5.39,US,1695171665
1,luorong,24.4058,109.6086,82.67,80,9,7.07,CN,1695171864
2,sakassou,7.4546,-5.2926,71.89,97,100,3.2,CI,1695171864
3,palikir - national government center,6.9248,158.1611,86.85,74,100,8.05,FM,1695171864
4,changyon,38.2508,125.0961,62.51,93,100,3.67,KP,1695171864
5,labytnangi,66.6572,66.4183,44.17,82,100,21.65,RU,1695171864
6,blackmans bay,-43.0167,147.3167,52.74,59,6,22.39,AU,1695171864
7,port mathurin,-19.6833,63.4167,73.11,83,2,21.99,MU,1695171864
8,moranbah,-22.0016,148.0466,80.89,36,2,0.65,AU,1695171864
9,ushuaia,-54.8,-68.3,37.06,81,40,11.5,AR,1695171692
10,mongo,12.1844,18.693,76.89,72,89,4.32,TD,1695171864
11,thompson,55.7435,-97.8558,62.76,82,100,2.3,CA,1695171865
12,invercargill,-46.4,168.35,74.01,38,2,21.99,NZ,1695171865
13,mont-dore,-22.2833,166.5833,80.58,99,99,8.5,NC,1695171865
14,puerto ayora,-0.7393,-90.3518,74.55,96,89,4.0,EC,1695171865
15,happy valley-goose bay,53.3168,-60.3315,50.31,76,100,8.05,CA,1695171865
16,arraial do cabo,-22.9661,-42.0278,70.5,88,0,20.22,BR,1695171772
17,nuku'alofa,-21.1333,-175.2,77.34,61,75,19.57,TO,1695171865
18,badger,64.8,-147.5333,49.98,64,75,6.91,US,1695171865
19,lihue,21.9789,-159.3672,85.24,69,20,14.97,US,1695171866
20,whitehorse,60.7161,-135.0538,51.1,62,75,3.44,CA,1695171681
21,puerto colombia,10.9878,-74.9547,84.29,84,100,9.84,CO,1695171866
22,ocean city,39.2776,-74.5746,66.99,74,0,1.01,US,1695171762
23,iqaluit,63.7506,-68.5145,33.53,80,75,0.0,CA,1695171613
24,berdigestyakh,62.0989,126.6992,38.44,51,12,4.23,RU,1695171866
25,chokwe,-24.5333,32.9833,69.85,76,0,7.23,MZ,1695171866
26,al kharijah,25.4514,30.5464,79.16,33,0,7.76,EG,1695171867
27,redencao,-4.2258,-38.7306,75.43,90,27,1.59,BR,1695171734
28,adamstown,-25.066,-130.1015,67.84,84,100,7.54,PN,1695171867
29,hamilton,39.1834,-84.5333,68.99,63,0,5.75,US,1695171867
30,albany,42.6001,-73.9662,59.65,77,0,4.0,US,1695171829
31,iturama,-19.7281,-50.1956,84.36,35,90,3.65,BR,1695171696
32,bilibino,68.0546,166.4372,37.65,56,100,3.22,RU,1695171867
33,boca suno,-0.7167,-77.1333,72.37,97,100,2.26,EC,1695171867
34,yellowknife,62.456,-114.3525,53.42,86,75,13.8,CA,1695171867
35,bonthe,7.5264,-12.505,76.6,89,52,5.23,SL,1695171867
36,polyarnyy,69.1989,33.4478,39.74,73,100,17.07,RU,1695171867
37,neryungri,56.6709,124.6491,39.79,40,66,3.76,RU,1695171868
38,port-aux-francais,-49.35,70.2167,33.48,76,99,33.62,TF,1695171868
39,hithadhoo,-0.6,73.0833,82.31,78,21,12.95,MV,1695171868
40,margaret river,-33.95,115.0667,57.92,59,100,3.36,AU,1695171868
41,georgetown,5.4112,100.3354,81.95,95,20,8.05,MY,1695171839
42,plettenberg bay,-34.0527,23.3716,56.75,76,19,12.64,ZA,1695171868
43,edinburgh of the seven seas,-37.0676,-12.3116,54.12,82,99,19.84,SH,1695171869
44,jamestown,42.097,-79.2353,56.79,77,0,5.75,US,1695171869
45,bandarbeyla,9.4942,50.8122,78.28,79,14,25.01,SO,1695171869
46,stanley,54.868,-1.6985,62.28,85,100,22.79,GB,1695171869
47,papatowai,-46.5619,169.4708,70.66,34,69,15.19,NZ,1695171869
48,beibei,29.8256,106.4339,78.37,97,100,2.04,CN,1695171869
